register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
50a62a47d0ba39c8f353,md,docs/ADMIN_BYPASS_REGISTER.md,9,0,TEXT_LINE_MARKET_TOKEN,| Field | Value |,value,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.callExpDateMap.*.low52Week;chains.callExpDateMap.*.high52Week;chains.putExpDateMap.*.low52Week,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
0ca2e0dc13bbd770dde5,md,docs/ADMIN_BYPASS_REGISTER.md,11,0,TEXT_LINE_MARKET_TOKEN,| **PR number** | 14 |,number,chains.numberOfContracts,chains.putExpDateMap.*.rho;market_hours.future.J7.isOpen;chains.putExpDateMap.*.theta,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
d8f29c096dd0e48d519e,md,docs/ADMIN_BYPASS_REGISTER.md,13,0,TEXT_LINE_MARKET_TOKEN,| **Required check status** | objective-audit PASS |,status,chains.status;quotes.quote.securityStatus;streaming.content.*.SECURITY_STATUS,chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.theta;quotes.quote.askSize,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
7fa1d0ef01fda72297bb,md,docs/ADMIN_BYPASS_REGISTER.md,14,0,TEXT_LINE_MARKET_TOKEN,| **Reason merge proceeded** | Operator gate: objective-audit only for audit PRs |,only,,chains.putExpDateMap.*.totalVolume;quotes.quote.askSize;movers.screeners.*.totalVolume,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
2b18a0452c3df3fb214c,md,docs/ADMIN_BYPASS_REGISTER.md,15,0,TEXT_LINE_MARKET_TOKEN,| **Risk accepted** | Non-blocking CI debt remains triaged separately |,risk non debt,chains.callExpDateMap.*.nonStandard;chains.putExpDateMap.*.nonStandard;instruments.*.fundamental.ltDebtToEquity;instruments.*.fundamental.totalDebtToCapital;instruments.*.fundamental.totalDebtToEquity,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.delta;chains.callExpDateMap.*.delta,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
96d091933bc0f5971624,md,docs/ADMIN_BYPASS_REGISTER.md,21,0,TEXT_LINE_MARKET_TOKEN,| Field | Value |,value,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.callExpDateMap.*.low52Week;chains.callExpDateMap.*.high52Week;chains.putExpDateMap.*.low52Week,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
6d67bcd5bca64973e99e,md,docs/ADMIN_BYPASS_REGISTER.md,23,0,TEXT_LINE_MARKET_TOKEN,| **PR number** | 15 |,number,chains.numberOfContracts,market_hours.future.J7.isOpen;market_hours.future._6J.isOpen;chains.putExpDateMap.*.rho,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
78aeb2bc0433b7174d75,md,docs/ADMIN_BYPASS_REGISTER.md,25,0,TEXT_LINE_MARKET_TOKEN,| **Required check status** | objective-audit PASS |,status,chains.status;quotes.quote.securityStatus;streaming.content.*.SECURITY_STATUS,chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.theta;quotes.quote.askSize,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
521ccd774d2bf89b2ac5,md,docs/ADMIN_BYPASS_REGISTER.md,26,0,TEXT_LINE_MARKET_TOKEN,| **Reason merge proceeded** | Surface-only visibility fix; objective-audit green |,only,,quotes.extended.bidSize;quotes.quote.bidSize;quotes.extended.askSize,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
88c72b1b635a04ce8b05,md,docs/ADMIN_BYPASS_REGISTER.md,27,0,TEXT_LINE_MARKET_TOKEN,| **Risk accepted** | CI red checks not triaged at merge time |,risk time,chains.callExpDateMap.*.quoteTimeInLong;chains.callExpDateMap.*.timeValue;chains.callExpDateMap.*.tradeTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.timeValue;chains.putExpDateMap.*.tradeTimeInLong;chains.underlying.quoteTime;chains.underlying.tradeTime;quotes.extended.quoteTime;quotes.extended.tradeTime;quotes.quote.askTime;quotes.quote.bidTime;quotes.quote.quoteTime;quotes.quote.tradeTime;quotes.regular.regularMarketTradeTime;streaming.content.*.ASK_TIME_MILLIS;streaming.content.*.BID_TIME_MILLIS;streaming.content.*.BOOK_TIME;streaming.content.*.CHART_TIME_MILLIS;streaming.content.*.QUOTE_TIME_MILLIS;streaming.content.*.TRADE_TIME_MILLIS,chains.putExpDateMap.*.theta;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.delta,Phase 2 D17 bulk NOT_MARKET_DATA disposition slice,NOT_MARKET_DATA,,,Phase 2 D17 bulk NOT_MARKET_DATA — lexical non-wire surface (tests/governance/docs/mega inventories)
