register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
ef0e23ee4d6936066b6c,py,live_market_plane.py,2,0,TEXT_LINE_MARKET_TOKEN,Layer A — authoritative in-process live quote plane (Ed Console).,quote,chains.callExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.underlying.quoteTime;quotes.extended.quoteTime;quotes.quote.52WeekHigh;quotes.quote.52WeekLow;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.quote.lowPrice;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;quotes.quote.netChange;quotes.quote.netPercentChange,chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
389df4cb30a5f4302373,py,live_market_plane.py,4,0,TEXT_LINE_MARKET_TOKEN,Canonical quote fields per ticker are updated primarily from Schwab **streaming**,quote per streaming,chains.callExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.underlying.quoteTime;quotes.extended.quoteTime;quotes.quote.52WeekHigh;quotes.quote.52WeekLow;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.quote.lowPrice;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;quotes.quote.netChange;quotes.quote.netPercentChange,chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.askSize;chains.callExpDateMap.*.bidSize,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
40f3f9e8f774e5e99c73,py,live_market_plane.py,5,0,TEXT_LINE_MARKET_TOKEN,`LEVEL_ONE_EQUITY` WebSocket rows (`record_from_level_one_equity`). REST `/api/fast-quote`,quote,chains.callExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.underlying.quoteTime;quotes.extended.quoteTime;quotes.quote.52WeekHigh;quotes.quote.52WeekLow;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.quote.lowPrice;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;quotes.quote.netChange;quotes.quote.netPercentChange,quotes.quote.askSize;quotes.extended.totalVolume;quotes.quote.totalVolume,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
7ae591d5f0ef2cc12425,py,live_market_plane.py,9,0,TEXT_LINE_MARKET_TOKEN,visible spot/bid/ask track the latest row. Tier B `GET /api/analytics/light` merges the,bid ask the,chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize,chains.putExpDateMap.*.theoreticalVolatility;chains.volatility;chains.callExpDateMap.*.theoreticalVolatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
0799f0f201d237803541,py,live_market_plane.py,10,0,TEXT_LINE_MARKET_TOKEN,plane for live spot vs cached structure + order-flow engine input. Full analytical payloads,order flow,,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.callExpDateMap.*.theoreticalVolatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
b2882c9afde1c36cf957,py,live_market_plane.py,11,0,TEXT_LINE_MARKET_TOKEN,"(`GET /api/analytics/state`, legacy `GET /api/state`, `_fetch_state`) also merge from the plane.",the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
1d77be09ecf7ab43e116,py,live_market_plane.py,14,0,TEXT_LINE_MARKET_TOKEN,  A — Tick/quote plane (this module),quote,chains.callExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.underlying.quoteTime;quotes.extended.quoteTime;quotes.quote.52WeekHigh;quotes.quote.52WeekLow;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.quote.lowPrice;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;quotes.quote.netChange;quotes.quote.netPercentChange,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.volatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
215b8d8a3b17db3643ca,py,live_market_plane.py,15,0,TEXT_LINE_MARKET_TOKEN,  B — Client fast mark-to-market (reads plane via HTTP + SSE live_quote),mark market,chains.callExpDateMap.*.mark;chains.callExpDateMap.*.markChange;chains.callExpDateMap.*.markPercentChange;chains.putExpDateMap.*.mark;chains.putExpDateMap.*.markChange;chains.putExpDateMap.*.markPercentChange;chains.underlying.mark;chains.underlying.markChange;chains.underlying.markPercentChange;quotes.extended.mark;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;streaming.content.*.MARK;streaming.content.*.MARK_CHANGE;streaming.content.*.MARK_CHANGE_PERCENT;instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.theta;chains.callExpDateMap.*.theta,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
18aa8974a7a4577da482,py,live_market_plane.py,17,0,TEXT_LINE_MARKET_TOKEN,"  D — Persistence (DB, outcomes, training) — never on quote hot path",quote,chains.callExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.underlying.quoteTime;quotes.extended.quoteTime;quotes.quote.52WeekHigh;quotes.quote.52WeekLow;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.quote.lowPrice;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;quotes.quote.netChange;quotes.quote.netPercentChange,chains.putExpDateMap.*.volatility;chains.putExpDateMap.*.theta;chains.putExpDateMap.*.theoreticalVolatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
13d53fa14e69dfbb21d2,py,live_market_plane.py,24,0,TEXT_LINE_MARKET_TOKEN,import time,time,chains.callExpDateMap.*.quoteTimeInLong;chains.callExpDateMap.*.timeValue;chains.callExpDateMap.*.tradeTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.timeValue;chains.putExpDateMap.*.tradeTimeInLong;chains.underlying.quoteTime;chains.underlying.tradeTime;quotes.extended.quoteTime;quotes.extended.tradeTime;quotes.quote.askTime;quotes.quote.bidTime;quotes.quote.quoteTime;quotes.quote.tradeTime;quotes.regular.regularMarketTradeTime;streaming.content.*.ASK_TIME_MILLIS;streaming.content.*.BID_TIME_MILLIS;streaming.content.*.BOOK_TIME;streaming.content.*.CHART_TIME_MILLIS;streaming.content.*.QUOTE_TIME_MILLIS;streaming.content.*.TRADE_TIME_MILLIS,chains.putExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.volatility,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only,NOT_MARKET_DATA,,,Phase 3 D17 adapter lexical NOT_MARKET_DATA — non-wire surface in adapter trio only
