register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
04f14fc0a330885a5e65,py,ml_predict.py,2,0,TEXT_LINE_MARKET_TOKEN,Ed Console - ML Prediction Module (Phase 4 - Stacked Ensemble),prediction,,chains.callExpDateMap.*.delta;chains.putExpDateMap.*.delta;chains.callExpDateMap.*.theta,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
32aae89e654d3ac7ea56,py,ml_predict.py,8,0,TEXT_LINE_MARKET_TOKEN,        XGBoost     - tabular snapshot features (per-ticker model),per model,instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.theta;chains.putExpDateMap.*.rho;quotes.quote.askSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
d4ab6e2d7c02c37336dd,py,ml_predict.py,9,0,TEXT_LINE_MARKET_TOKEN,        LSTM        - dual-stream candle sequences (shared model),model,,chains.callExpDateMap.*.delta;chains.callExpDateMap.*.theta;chains.callExpDateMap.*.gamma,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
a53974d3cc0210273dbf,py,ml_predict.py,10,0,TEXT_LINE_MARKET_TOKEN,        Transformer - attention-based candle sequences (shared model),model,,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.delta;chains.putExpDateMap.*.theta,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
533f9ded8d5accd8d293,py,ml_predict.py,18,0,TEXT_LINE_MARKET_TOKEN,Fallback chain:,chain,chains.isChainTruncated,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.highPrice,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
96eda4f200d7c6031b5d,py,ml_predict.py,69,0,TEXT_LINE_MARKET_TOKEN,"    """"""Loaded artifact expects cascade (upstream model) tensors; parallel runtime forbids that coupling.""""""",model,,chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.bidSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
7349b748719141cad300,py,ml_predict.py,76,0,TEXT_LINE_MARKET_TOKEN,"    return f""{_INFER_ARCHITECTURE.get()}:{ticker.upper()}""",return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.ASK_SIZE,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
82511372ba96f2a9d15e,py,ml_predict.py,81,0,TEXT_LINE_MARKET_TOKEN,    In-memory cache key for base stack models (XGB / LSTM / Transformer / meta).,key,streaming.content.*.key,chains.callExpDateMap.*.rho;movers.screeners.*.totalVolume;chains.putExpDateMap.*.rho,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
9475f3fc3170a1fe46c9,py,ml_predict.py,87,0,TEXT_LINE_MARKET_TOKEN,"    return f""{_reg_key(ticker)}:{su}""",return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,quotes.quote.bidSize;quotes.quote.askSize;quotes.extended.askSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
a87e3bc8f5d008e41c91,py,ml_predict.py,94,0,TEXT_LINE_MARKET_TOKEN,        yield,yield,chains.dividendYield;instruments.*.fundamental.dividendYield;quotes.fundamental.divYield;streaming.content.*.DIVIDEND_YIELD,chains.callExpDateMap.*.high52Week;chains.callExpDateMap.*.volatility;chains.volatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
1e7bf0030ec3f339e0c7,py,ml_predict.py,99,0,TEXT_LINE_MARKET_TOKEN,# Scheduler / eval sets this when loading non-1c artifacts from a candidate directory.,non,chains.callExpDateMap.*.nonStandard;chains.putExpDateMap.*.nonStandard,chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.theta,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
e4f3f5e157d8052d2146,py,ml_predict.py,106,0,TEXT_LINE_MARKET_TOKEN,    return normalize_ml_horizon_slug(_ml_infer_horizon_cv.get()),return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,chains.underlying.totalVolume;streaming.content.*.BID_SIZE;pricehistory.candles.*.volume,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
