file,line,tags,names,candidate_schwab_fields,code
adaptive_shadow_v2_calibration.py,252,DEFAULT_ZERO_OR,,,"-(x[""aggregate""].get(""mean_jaccard_vs_heuristic"") or 0.0),"
adaptive_shadow_v2_calibration.py,253,DEFAULT_ZERO_OR,,,"-(x[""aggregate""].get(""fraction_tier_stop_viable"") or 0.0),"
adaptive_shadow_v2_calibration.py,254,DEFAULT_ZERO_OR,,,"x[""aggregate""].get(""stdev_jaccard_across_anchors"") or 0.0,"
adaptive_shadow_v2_calibration.py,303,DEFAULT_ZERO_OR,,,"empties = [x for x in pa0 if int(x.get(""structural_pool_size"") or 0) == 0]"
adaptive_shadow_v2_calibration.py,338,,low,pricehistory.candles.*.low,"""MEDIUM if all anchors have tier1 pool > 0 and mean_jaccard interpretable; LOW if many empty tier1 pools."""
adaptive_similarity_engine.py,71,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"Small staged sweep (~15 configs): corners, mid baseline, per-feature low/high from mid."
adaptive_similarity_engine.py,187,GET_DEFAULT_ZERO,,,"w = float(tier3_weights.get(col, 0.0))"
adaptive_similarity_engine.py,259,GET_DEFAULT_ZERO,,,"tw = {k: float(tier3_weights.get(k, 0.0)) for k in ADAPTIVE_SHADOW_V2_TIER3_COLUMNS}"
adaptive_similarity_engine.py,313,DEFAULT_ZERO_OR,,,"-float(x[1].get(""ts_utc"") or 0),"
adaptive_similarity_engine.py,314,DEFAULT_ZERO_OR,,,"-(x[1].get(""snapshot_id"") or 0),"
adaptive_similarity_engine.py,599,DEFAULT_ZERO_OR,,,"scored.sort(key=lambda x: (-x[0], -float(x[1].get(""ts_utc"") or 0), -(x[1].get(""snapshot_id"") or 0)))"
api_pressure.py,35,TIME_NOW_FALLBACK,,,now = time.time()
api_pressure.py,47,TIME_NOW_FALLBACK,,,now = time.time()
api_pressure.py,64,,last,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last,"f""Schwab HTTP 429 (rate limit) on {last_where} — {n} hit(s) in the last ~{int(win)}s. """
audit_expiry_data.py,3,DATE_DIFF_DTE,,,audit_expiry_data.py — Audit snapshots for bad expiry data from the 2026-03-12 bug
audit_expiry_data.py,5,DATE_DIFF_DTE,,,Run: python audit_expiry_data.py
audit_expiry_data.py,8,DATE_DIFF_DTE,,,- dte < 0 (expiry was in the past when snapshot was taken)
audit_expiry_data.py,9,DATE_DIFF_DTE,,,- expiry date before snapshot date
audit_expiry_data.py,10,DATE_DIFF_DTE,,,"- hours_to_expiry NULL when dte=0 (same-day expiry, expected after 4pm ET)"
audit_expiry_data.py,31,DATE_DIFF_DTE,,,"print(""EXPIRY DATA AUDIT — Ed Console Snapshots"")"
audit_expiry_data.py,37,DATE_DIFF_DTE,,,bad_dte = conn.execute(
audit_expiry_data.py,38,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:37""),"
audit_expiry_data.py,42,DATE_DIFF_DTE,,,"print(f""\n1. Rows with DTE < 0 (expired options): {bad_dte}"")"
audit_expiry_data.py,44,DATE_DIFF_DTE,,,if bad_dte > 0:
audit_expiry_data.py,46,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:48""),"
audit_expiry_data.py,54,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:61""),"
audit_expiry_data.py,59,DATE_DIFF_DTE,,,"print(f""      id={r[0]} {r[1]} expiry={r[2]} dte={r[3]} """
audit_expiry_data.py,64,DATE_DIFF_DTE,,,bad_expiry_vs_ts = conn.execute(
audit_expiry_data.py,65,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:78""),"
audit_expiry_data.py,69,DATE_DIFF_DTE,,,"print(f""\n2. Rows where expiry < snapshot date: {bad_expiry_vs_ts}"")"
audit_expiry_data.py,73,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:91""),"
audit_expiry_data.py,78,DATE_DIFF_DTE,,,bad_count = bad_dte  # primary metric
audit_expiry_data.py,81,DATE_DIFF_DTE,,,"print(f""   Bad rows (dte<0): {pct}% of total"")"
audit_expiry_data.py,84,DATE_DIFF_DTE,,,if bad_dte > 0:
audit_expiry_data.py,86,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:104""),"
audit_expiry_data.py,92,DATE_DIFF_DTE,,,if bad_dte > 0:
audit_expiry_data.py,94,DATE_DIFF_DTE,,,"get_snapshot_sql(""audit_expiry_data.py:116""),"
audit_expiry_data.py,97,DATE_DIFF_DTE,,,"print(f""\n5. Distinct expiries with dte<0:"")"
audit_expiry_data.py,102,DATE_DIFF_DTE,,,if bad_dte > 0:
audit_expiry_data.py,103,DATE_DIFF_DTE,,,"print(""RECOMMENDATION: Exclude or delete rows with dte<0 for prediction/training."")"
audit_expiry_data.py,106,DATE_DIFF_DTE,,,"print(f""  sqlite3 {DB_PATH} \""DELETE FROM {_sn} WHERE dte < 0;\"""")"
audit_expiry_data.py,109,DATE_DIFF_DTE,,,"print(f""      conn.execute('DELETE FROM {_sn} WHERE dte < 0')"")"
audit_expiry_data.py,112,DATE_DIFF_DTE,,,"print(""No bad expiry rows found — DB looks clean."")"
audit_snapshot_data.py,85,,close|high|low|open,chains.underlying.close|pricehistory.candles.*.close|pricehistory.candles.*.high|pricehistory.candles.*.low|pricehistory.candles.*.open,"print(f""     {'ts_et':<22} {'gap':>6} {'open':>8} {'high':>8} {'low':>8} {'close':>8} {'vol':>10}"")"
audit_snapshot_data.py,89,DEFAULT_ZERO_OR,,,"print(f""     {str(r['ts_et']):<22} {gap:>5.0f}s {r['candle_open'] or 0:>8.2f} {r['candle_high'] or 0:>8.2f} {r['candle_low'] or 0:>8.2f} {r['candle_close'] or 0:>8.2f} {r['candle_volume'] or 0:>10.0f}"")"
audit_snapshot_data.py,106,,open,pricehistory.candles.*.open,"print(f""\n  D. Reset cadence (open changes = new bar):"")"
audit_snapshot_data.py,107,,open,pricehistory.candles.*.open,"print(f""     Open changed {len(open_changes)} times total"")"
audit_snapshot_data.py,120,,close,chains.underlying.close|pricehistory.candles.*.close,conn.close()
audit_training_data.py,14,,last,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last,3. Rows per date (last 30 days)
audit_training_data.py,16,DATE_DIFF_DTE,,,5. 0DTE row count (dte = 0)
audit_training_data.py,53,,last,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last,"print(""\n3. Rows per date (last 30 days):"")"
audit_training_data.py,71,DATE_DIFF_DTE,,,dte0 = conn.execute(
audit_training_data.py,75,DATE_DIFF_DTE,,,"print(f""\n5. 0DTE rows (dte = 0): {dte0:,}"")"
backfill_flow_imbalance.py,6,,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,still contribute volume / sizes when present.
backfill_flow_imbalance.py,8,,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"When archived rows lack bidSize/askSize, flow_imbalance falls back to call vs put volume"
backfill_flow_imbalance.py,71,,multiplier,chains.callExpDateMap.*.multiplier|chains.putExpDateMap.*.multiplier,"multiplier = _positive_float_or_none(ct.get(""multiplier""))"
backfill_flow_imbalance.py,76,,openInterest,chains.callExpDateMap.*.openInterest|chains.putExpDateMap.*.openInterest,"""openInterest"": ct.get(""openInterest""),"
backfill_flow_imbalance.py,72,,totalVolume|volume,chains.callExpDateMap.*.totalVolume|chains.putExpDateMap.*.totalVolume|chains.underlying.totalVolume|movers.screeners.*.totalVolume|quotes.extended.totalVolume|quotes.quote.totalVolume|movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"total_volume = ct.get(""""totalVolume"""") if ct.get(""""totalVolume"""") is not None else ct.get(""""volume"""")"""
backfill_flow_imbalance.py,80,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,"""delta"": ct.get(""delta""),"
backfill_flow_imbalance.py,81,,gamma,chains.callExpDateMap.*.gamma|chains.putExpDateMap.*.gamma,"""gamma"": ct.get(""gamma""),"
backfill_flow_imbalance.py,82,,vega,chains.callExpDateMap.*.vega|chains.putExpDateMap.*.vega,"""vega"": ct.get(""vega""),"
backfill_flow_imbalance.py,83,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"""volatility"": ct.get(""volatility""),"
backfill_flow_imbalance.py,84,DATE_DIFF_DTE,daysToExpiration,chains.callExpDateMap.*.daysToExpiration|chains.daysToExpiration|chains.putExpDateMap.*.daysToExpiration,"""daysToExpiration"": ct.get(""daysToExpiration""),"
backfill_flow_imbalance.py,85,,multiplier,chains.callExpDateMap.*.multiplier|chains.putExpDateMap.*.multiplier,"""multiplier"": multiplier,"
backfill_flow_imbalance.py,86,DATE_DIFF_DTE,expirationDate,chains.callExpDateMap.*.expirationDate|chains.putExpDateMap.*.expirationDate,"""expirationDate"": ct.get(""expirationDate""),"
backfill_flow_imbalance.py,108,,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"by_src: dict[str, int] = {""book"": 0, ""volume"": 0, ""none"": 0}"
backfill_flow_imbalance.py,130,GET_DEFAULT_ZERO,,,"by_src[src] = by_src.get(src, 0) + 1"
backfill_flow_imbalance.py,167,,close,chains.underlying.close|pricehistory.candles.*.close,conn.close()
backfill_flow_imbalance.py,178,GET_DEFAULT_ZERO,,,"""flow_source_book"": by_src.get(""book"", 0),"
backfill_flow_imbalance.py,181,,,,"""flow_source_volume"": (by_src[""volume""] if ""volume"" in by_src else 0),"
backfill_flow_imbalance.py,180,GET_DEFAULT_ZERO,,,"""flow_source_none"": by_src.get(""none"", 0),"
backfill_snapshot_derived.py,34,,close|open|spot|vwap,chains.underlying.close|pricehistory.candles.*.close|pricehistory.candles.*.open,"""""""Fallback when no VWAP yet: OHLC average, else close/open, else spot."""""""
backfill_snapshot_derived.py,178,,close,chains.underlying.close|pricehistory.candles.*.close,conn.close()
bar_rehydration_issue19_v1.py,130,,close,chains.underlying.close|pricehistory.candles.*.close,conn.close()
bar_rehydration_issue19_v1.py,239,,close,chains.underlying.close|pricehistory.candles.*.close,conn2.close()
bar_rehydration_issue19_v1.py,245,DEFAULT_ZERO_OR,,,"feasible = int(post.get(""pin_neutral_anchor_feasible_count"") or 0)"
bar_rehydration_issue19_v1.py,267,DEFAULT_ZERO_OR,,,"updates = int(repair_audit.get(""updates_executed"") or 0)"
bar_rehydration_issue19_v1.py,299,,close,chains.underlying.close|pricehistory.candles.*.close,"""Increase to close early lead-in gaps (e.g. 172800 or 259200 for $SPX ~24–48h)."","
bayesian_fusion.py,64,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"fusion_confidence:     str   = ""low""       # low / medium / high"
bayesian_fusion.py,91,,low,pricehistory.candles.*.low,"model_agreement_label: str   = ""low"""
bayesian_fusion.py,249,,low,pricehistory.candles.*.low,"conv = getattr(rules, ""conviction"", ""low"")"
bayesian_fusion.py,251,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"conv_mult = {""high"": 1.0, ""medium"": 0.7, ""low"": 0.4}.get(conv, 0.3)"
bayesian_fusion.py,494,,high,pricehistory.candles.*.high,"conf = ""high"""
bayesian_fusion.py,500,,low,pricehistory.candles.*.low,"conf = ""low"""
bayesian_fusion.py,513,,high,pricehistory.candles.*.high,"if n_predictive_approved < 2 and conf == ""high"":"
bayesian_fusion.py,542,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"agree_label = ""high"" if agreement >= 0.75 else ""medium"" if agreement >= 0.5 else ""low"""
bayesian_fusion.py,545,,low,pricehistory.candles.*.low,"agree_label = ""low"""
bayesian_fusion.py,557,GET_DEFAULT_ZERO,,,"w = weights.get(src, 0.0)"
bayesian_fusion.py,596,DEFAULT_ZERO_OR,,,"nb = int(signal_layer_v1.get(""meta.n_bars"") or 0)"
bayesian_fusion.py,639,,low,pricehistory.candles.*.low,"evidence.append(f""Regime: {regime_label} ({getattr(regime, 'confidence', 'low')})"")"
bayesian_fusion.py,660,,high,pricehistory.candles.*.high,"conf = ""high"""
bayesian_fusion.py,664,,low,pricehistory.candles.*.low,"conf = ""low"""
bayesian_fusion.py,670,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"""vol_expansion"": ""volatility expansion"","
bayesian_fusion.py,689,GET_DEFAULT_ZERO,,,"breakout_posterior=round(posteriors.get(""breakout"", 0), 3),"
bayesian_fusion.py,690,GET_DEFAULT_ZERO,,,"pinning_posterior=round(posteriors.get(""pinning"", 0), 3),"
bayesian_fusion.py,691,GET_DEFAULT_ZERO,,,"continuation_posterior=round(posteriors.get(""continuation"", 0), 3),"
bayesian_fusion.py,692,GET_DEFAULT_ZERO,,,"reversal_posterior=round(posteriors.get(""reversal"", 0), 3),"
bayesian_fusion.py,693,GET_DEFAULT_ZERO,,,"vol_expansion_posterior=round(posteriors.get(""vol_expansion"", 0), 3),"
bayesian_fusion.py,694,GET_DEFAULT_ZERO,,,"mean_reversion_posterior=round(posteriors.get(""mean_reversion"", 0), 3),"
bayesian_fusion.py,695,GET_DEFAULT_ZERO,,,"weight_xgboost=round(weights.get(""xgboost"", 0), 3),"
bayesian_fusion.py,696,GET_DEFAULT_ZERO,,,"weight_lstm=round(weights.get(""lstm"", 0), 3),"
bayesian_fusion.py,697,GET_DEFAULT_ZERO,,,"weight_transformer=round(weights.get(""transformer"", 0), 3),"
bayesian_fusion.py,699,GET_DEFAULT_ZERO,,,"weight_rules=round(weights.get(""rules"", 0), 3),"
bayesian_fusion.py,700,GET_DEFAULT_ZERO,,,"weight_regime=round(weights.get(""regime"", 0), 3),"
bayesian_fusion.py,759,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"""volatility"": 2.5,"
call_engine.py,128,,low,pricehistory.candles.*.low,"parts.append(f""Invalid if 5min closes below {micro.structure_support:.2f} swing low"")"
call_engine.py,130,,high,pricehistory.candles.*.high,"parts.append(f""Invalid if 5min closes above {micro.structure_resist:.2f} swing high"")"
call_engine.py,173,DATE_DIFF_DTE,,,Max 1m bars for historical replay time_expiry — branches stay aligned with _time_qualifier().
call_engine.py,207,DEFAULT_ZERO_OR,,,"mode = ""expansion"" if (exp or 0) >= (cont or 0) else ""containment"""
call_engine.py,208,DEFAULT_ZERO_OR,,,pct = int(100 * (exp if (exp or 0) >= (cont or 0) else cont) or 0)
call_engine.py,236,GET_DEFAULT_ZERO,,,"lc = blocker.get(""long_count"", 0)"
call_engine.py,237,GET_DEFAULT_ZERO,,,"sc = blocker.get(""short_count"", 0)"
call_engine.py,258,,close,chains.underlying.close|pricehistory.candles.*.close,"detail = blocker.get(""detail"", ""≤30 min to close"")"
call_engine.py,282,,high,pricehistory.candles.*.high,"f""High conviction — {type_label} setup with multiple confirmations."""
call_engine.py,292,,low,pricehistory.candles.*.low,"f""{'Forward stack disagrees — trade smaller. ' if not pred_agrees and pred.forward_confidence != 'low' else ''}"""
call_engine.py,318,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"notes.append(""Volatility rising — moves may be larger than expected"")"
call_engine.py,320,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,"notes.append(""Volatility falling — moves may be smaller than expected"")"
call_engine.py,323,,high|vix,pricehistory.candles.*.high,"notes.append(f""VIX at {inp.vix_level:.1f} — high vol, widen stops"")"
call_engine.py,342,,low,pricehistory.candles.*.low,"if pred_conf != ""low"" or dom_p >= 0.45:"
call_engine.py,345,,low,pricehistory.candles.*.low,"if pred_conf != ""low"" or dom_p >= 0.45:"
call_engine.py,383,DEFAULT_ZERO_OR,,,c = float(etf_chg_pct or 0.0)
call_engine.py,402,DEFAULT_ZERO_OR,,,spy = inp.spy_chg_pct or 0.0
call_engine.py,403,DEFAULT_ZERO_OR,,,qqq = inp.qqq_chg_pct or 0.0
call_engine.py,404,DEFAULT_ZERO_OR,,,iwm = inp.iwm_chg_pct or 0.0
call_engine.py,436,DEFAULT_ZERO_OR,,,spy = inp.spy_chg_pct or 0.0
call_engine.py,437,DEFAULT_ZERO_OR,,,qqq = inp.qqq_chg_pct or 0.0
call_engine.py,438,DEFAULT_ZERO_OR,,,iwm = inp.iwm_chg_pct or 0.0
call_engine.py,441,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,delta = qqq - spy
call_engine.py,442,,delta|spread,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,if abs(delta) > 0.20:  # meaningful divergence (0.2% spread)
call_engine.py,443,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,if delta > 0:
call_engine.py,444,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,"notes.append(f""QQQ leading SPY by {abs(delta):.2f}% — tech pulling market up"")"
call_engine.py,446,,delta,chains.callExpDateMap.*.delta|chains.putExpDateMap.*.delta,"notes.append(f""QQQ lagging SPY by {abs(delta):.2f}% — tech is a drag"")"
call_engine.py,466,DATE_DIFF_DTE,vix,,"Time-aware, VIX-aware stop distance for 0DTE trading."
call_engine.py,469,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,risk_multiplier: from volatility regime — scales stop in expansion/unstable
call_engine.py,495,,volatility,chains.callExpDateMap.*.volatility|chains.putExpDateMap.*.volatility|chains.volatility,risk_multiplier: from volatility regime — scales stop distance.
