register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
bf9b1893c14b442088a7,python,multi_horizon_decision.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
0d9d86cf54cdf1158847,python,multi_horizon_decision.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
30626a6b6bcf95865a9d,python,multi_horizon_decision.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
85318680588ef6c66b93,py,multi_horizon_decision.py,4,0,TEXT_LINE_MARKET_TOKEN,Produces a single runtime decision truth from per-horizon forecasts while preserving,per,instruments.*.fundamental.bookValuePerShare,pricehistory.candles.*.volume;quotes.quote.askSize;chains.putExpDateMap.*.rho,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
7f7c983f0ddea5c28f0f,cross_validator,multi_horizon_decision.py,4,0,pattern_kind_miss,Produces a single runtime decision truth from per-horizon forecasts while preserving,per,instruments.*.fundamental.bookValuePerShare,pricehistory.candles.*.volume;quotes.quote.askSize;chains.putExpDateMap.*.rho,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
0c62e0ec3e9fb8311770,python,multi_horizon_decision.py,5,403,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
1563b521fcd2d5ebfc5e,python,multi_horizon_decision.py,6,404,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
f337673ec03b082615e8,python,multi_horizon_decision.py,7,405,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
31a573cfcf492d766e0c,python,multi_horizon_decision.py,8,406,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
aac0639d20d441f4f37e,python,multi_horizon_decision.py,9,407,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE chunk-1 disposition multi_horizon_decision.py 1-854,NOT_MARKET_DATA,,,trunk orchestration/dataclass scaffolding | line anchored HEAD 9c0a118 multi_horizon_decision.py trunk; CONFIDENCE-1 producer map
