register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
06c76d6c5d41603257bb,py,server.py,2337,0,TEXT_LINE_MARKET_TOKEN,    ``/api/logger/pin``). For an ALREADY-enrolled ticker this refreshes ``last_seen`` (the same,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.rho;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.rho,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
170dc37d92e8afc7aa89,cross_validator,market_context.py,672,0,pattern_kind_miss,"            last=last, chg_pct=chg, dot_color=_dot_color(chg),",last,chains.callExpDateMap.*.last;chains.callExpDateMap.*.lastSize;chains.callExpDateMap.*.lastTradingDay;chains.putExpDateMap.*.last;chains.putExpDateMap.*.lastSize;chains.putExpDateMap.*.lastTradingDay;chains.underlying.last;movers.screeners.*.lastPrice;quotes.extended.lastPrice;quotes.extended.lastSize;quotes.fundamental.lastEarningsDate;quotes.quote.lastMICId;quotes.quote.lastPrice;quotes.quote.lastSize;quotes.regular.regularMarketLastPrice;quotes.regular.regularMarketLastSize;streaming.content.*.LAST_ID;streaming.content.*.LAST_MIC_ID;streaming.content.*.LAST_PRICE;streaming.content.*.LAST_SIZE;streaming.content.*.REGULAR_MARKET_LAST_PRICE;streaming.content.*.REGULAR_MARKET_LAST_SIZE,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
212ddc0f871f558d3328,py,server.py,2336,0,TEXT_LINE_MARKET_TOKEN,"    into the training roster is reserved for explicit track/pin actions (``/api/logger/add``,",the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.volatility;chains.putExpDateMap.*.theoreticalVolatility;quotes.quote.askSize,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
2789d873ea43c94c29e9,cross_validator,server.py,2334,0,pattern_kind_miss,"    Merely looking up / viewing levels, quotes, or analytics for an arbitrary symbol must NOT",levels quotes symbol,quotes.;quotes.assetMainType;quotes.assetSubType;quotes.extended.askPrice;quotes.extended.askSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.extended.lastPrice;quotes.extended.lastSize;quotes.extended.mark;quotes.extended.quoteTime;quotes.extended.totalVolume;quotes.extended.tradeTime;quotes.fundamental.avg10DaysVolume;quotes.fundamental.avg1YearVolume;quotes.fundamental.declarationDate;quotes.fundamental.divAmount;quotes.fundamental.divExDate;quotes.fundamental.divFreq;quotes.fundamental.divPayAmount;quotes.fundamental.divPayDate;quotes.fundamental.divYield;quotes.fundamental.eps;quotes.fundamental.fundLeverageFactor;quotes.fundamental.lastEarningsDate,chains.underlying.totalVolume;pricehistory.candles.*.volume;chains.callExpDateMap.*.totalVolume,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
2afcd5b0c88f835e4cc9,cross_validator,server.py,2339,0,pattern_kind_miss,    ticker it is a no-op and never writes. Safe to call from the offloaded SSE/async paths.,call the,chains.callExpDateMap;chains.callExpDateMap.*;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.closePrice;chains.callExpDateMap.*.daysToExpiration;chains.callExpDateMap.*.deliverableNote;chains.callExpDateMap.*.delta;chains.callExpDateMap.*.description;chains.callExpDateMap.*.exchangeName;chains.callExpDateMap.*.exerciseType;chains.callExpDateMap.*.expirationDate;chains.callExpDateMap.*.expirationType;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.gamma;chains.callExpDateMap.*.high52Week;chains.callExpDateMap.*.highPrice;chains.callExpDateMap.*.inTheMoney;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.last;chains.callExpDateMap.*.lastSize;chains.callExpDateMap.*.lastTradingDay,quotes.quote.askSize;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.askSize,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
2e67acf6b344d7a2a337,cross_validator,server.py,2337,0,pattern_kind_miss,    ``/api/logger/pin``). For an ALREADY-enrolled ticker this refreshes ``last_seen`` (the same,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.rho;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.rho,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
37174ac7dc521c84d988,cross_validator,market_context.py,928,0,pattern_kind_miss,    pdh:          Optional[float] = None   # Previous day high,float day high,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.lastTradingDay;chains.putExpDateMap.*.lastTradingDay;instruments.*.fundamental.shortIntDayToCover;streaming.content.*.CHART_DAY;chains.callExpDateMap.*.highPrice;chains.putExpDateMap.*.highPrice;chains.underlying.fiftyTwoWeekHigh;chains.underlying.highPrice;pricehistory.candles.*.high;quotes.quote.52WeekHigh;quotes.quote.highPrice;streaming.content.*.HIGH_PRICE;streaming.content.*.HIGH_PRICE_52_WEEK,chains.putExpDateMap.*.rho;chains.putExpDateMap.*.totalVolume;chains.callExpDateMap.*.rho,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
514b3f9670a179e3346d,py,market_context.py,927,0,TEXT_LINE_MARKET_TOKEN,    vwap:         Optional[float] = None   # Today intraday VWAP (RTH),float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.totalVolume;chains.volatility,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
516fd0e2bd92f8885563,cross_validator,market_context.py,829,0,pattern_kind_miss,"    from bars with 'open','high','low','close','volume'.",open high low close volume,chains.callExpDateMap.*.openInterest;chains.callExpDateMap.*.openPrice;chains.putExpDateMap.*.openInterest;chains.putExpDateMap.*.openPrice;chains.underlying.openPrice;market_hours.bond.BON.isOpen;market_hours.equity.EQ.isOpen;market_hours.forex.forex.isOpen;market_hours.future.ADA.isOpen;market_hours.future.AW.isOpen;market_hours.future.BFF.isOpen;market_hours.future.BTC.isOpen;market_hours.future.BZ.isOpen;market_hours.future.CB.isOpen;market_hours.future.CL.isOpen;market_hours.future.CZK.isOpen;market_hours.future.DC.isOpen;market_hours.future.E7.isOpen;market_hours.future.ECK.isOpen;market_hours.future.EHF.isOpen;market_hours.future.EMD.isOpen;market_hours.future.ES.isOpen;market_hours.future.ETH.isOpen;market_hours.future.GC.isOpen;market_hours.future.GF.isOpen,chains.underlying.totalVolume;chains.callExpDateMap.*.totalVolume;quotes.regular.regularMarketLastSize,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
5392e8d6b25f18f8119e,cross_validator,market_context.py,927,0,pattern_kind_miss,    vwap:         Optional[float] = None   # Today intraday VWAP (RTH),float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.totalVolume;chains.volatility,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched,NOT_MARKET_DATA,,,O-XX perf-proof reconciliation — lexical NOT_MARKET_DATA; register_id-safe merge; wire defer rows untouched
