register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
bfb0e01dc00ac5c26639,py,signals.py,3,0,TEXT_LINE_MARKET_TOKEN,Full model-stack orchestrator.,model,,chains.callExpDateMap.*.totalVolume;movers.screeners.*.totalVolume;chains.putExpDateMap.*.totalVolume,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
f8af0a35fa684bf2a05c,py,signals.py,5,0,TEXT_LINE_MARKET_TOKEN,"REQUIRED STACK ORDER (non-negotiable, enforced in code):",order non,chains.callExpDateMap.*.nonStandard;chains.putExpDateMap.*.nonStandard,quotes.extended.bidSize;quotes.quote.bidSize;quotes.extended.askSize,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
e631564dbe271cf186dc,py,signals.py,6,0,TEXT_LINE_MARKET_TOKEN,  1. Market Data          — inp (SignalInput),market,instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName;market_hours.bond.BON.sessionHours;market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.bond.BON.sessionHours.preMarket;market_hours.bond.BON.sessionHours.preMarket.*;market_hours.bond.BON.sessionHours.preMarket.*.end;market_hours.bond.BON.sessionHours.preMarket.*.start;market_hours.bond.BON.sessionHours.regularMarket;market_hours.bond.BON.sessionHours.regularMarket.*;market_hours.bond.BON.sessionHours.regularMarket.*.end;market_hours.bond.BON.sessionHours.regularMarket.*.start;market_hours.equity;market_hours.equity.EQ;market_hours.equity.EQ.date,chains.putExpDateMap.*.theta;streaming.timestamp;chains.putExpDateMap.*.gamma,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
9aa06de6b33f5e06697c,py,signals.py,7,0,TEXT_LINE_MARKET_TOKEN,  1b. Canonical snapshot   — InferenceSnapshotV1 once per tick (MVP row for vol/regime/MC/prediction filters),per regime prediction,instruments.*.fundamental.bookValuePerShare,chains.callExpDateMap.*.openInterest;pricehistory.candles.*.volume;chains.putExpDateMap.*.openInterest,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
ac060d5b389c3e47d8e8,py,signals.py,8,0,TEXT_LINE_MARKET_TOKEN,"  2. Volatility Regime    — classify_volatility_regime(inp, mvp_features=…); policy layer",volatility regime,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.volatility,chains.volatility;chains.callExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
7d7ad2d41e2f0a3675e0,py,signals.py,9,0,TEXT_LINE_MARKET_TOKEN,"  3. Market Regime        — classify_regime(inp, rules, mvp_features=…); needs rules for micro",market regime,instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName;market_hours.bond.BON.sessionHours;market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.bond.BON.sessionHours.preMarket;market_hours.bond.BON.sessionHours.preMarket.*;market_hours.bond.BON.sessionHours.preMarket.*.end;market_hours.bond.BON.sessionHours.preMarket.*.start;market_hours.bond.BON.sessionHours.regularMarket;market_hours.bond.BON.sessionHours.regularMarket.*;market_hours.bond.BON.sessionHours.regularMarket.*.end;market_hours.bond.BON.sessionHours.regularMarket.*.start;market_hours.equity;market_hours.equity.EQ;market_hours.equity.EQ.date,chains.callExpDateMap.*.rho;chains.putExpDateMap.*.rho;quotes.quote.askSize,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
b5ba8d81967dd66711dc,py,signals.py,10,0,TEXT_LINE_MARKET_TOKEN,"  4. Feature Engineering  — build_fusion_model_overlay_for_stack **once per tick**, reused per horizon",per,instruments.*.fundamental.bookValuePerShare,quotes.quote.askSize;quotes.quote.bidSize;pricehistory.candles.*.volume,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
78bd9ba54d3cf79bd96f,py,signals.py,11,0,TEXT_LINE_MARKET_TOKEN,  5. ML Models            — XGB/LSTM/Transformer per horizon slug; shared tabular ingest→overlay→m5 once/tick,per,instruments.*.fundamental.bookValuePerShare,movers.screeners.*.totalVolume;pricehistory.candles.*.volume;quotes.regular.regularMarketLastSize,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
93d6d4075073064d2750,py,signals.py,14,0,TEXT_LINE_MARKET_TOKEN,  8. Decision Policy       — compute_call (The Call); consumes vol_regime,the call,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney;chains.callExpDateMap;chains.callExpDateMap.*;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.closePrice;chains.callExpDateMap.*.daysToExpiration;chains.callExpDateMap.*.deliverableNote;chains.callExpDateMap.*.delta;chains.callExpDateMap.*.description;chains.callExpDateMap.*.exchangeName;chains.callExpDateMap.*.exerciseType;chains.callExpDateMap.*.expirationDate;chains.callExpDateMap.*.expirationType;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.gamma;chains.callExpDateMap.*.high52Week;chains.callExpDateMap.*.highPrice;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.last;chains.callExpDateMap.*.lastSize,chains.volatility;chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.totalVolume,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
dbf7b89edad6011a918d,py,signals.py,15,0,TEXT_LINE_MARKET_TOKEN,"  9. Risk Engine          — _validate_trade (inside compute_call, after decision)",risk,,chains.volatility;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bidSize,CLAUDE chunk-1 disposition signals.py 1-1422,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8 signals.py trunk; fusion_policy sub-walk d3f0ce8+
