rel_path,category,scope,header_added
ACTIVE_PROGRAM.md,Active Rule Source,"Current epic, conflicts, deferred work, known risks.",yes
AGENTS.md,Active Rule Source,Always-on agent behavior rules (Cursor + Claude Code).,yes
CALL_CARD_SEMANTICS_FIX_AUDIT.md,Historical Record,Root point-in-time audit `CALL_CARD_SEMANTICS_FIX_AUDIT.md`; not binding unless ACTIVE_PROGRAM cites.,yes
CARD_STUCK_FIX_AUDIT.md,Historical Record,Root point-in-time audit `CARD_STUCK_FIX_AUDIT.md`; not binding unless ACTIVE_PROGRAM cites.,yes
CLAUDE.md,Active Rule Source,Schwab program law; Read-not-scan methodology.,no
data/policy_usable_inventory_v1_summary.md,Policy Specification,Repository documentation `data/policy_usable_inventory_v1_summary.md`.,yes
DATA_STEWARDSHIP.md,Operator Runbook,"Training, maintenance, and data stewardship procedures.",yes
docs/_consolidation/restore/FULL_PRIMARY_HORIZON_AUDIT.md,Historical Record,Point-in-time audit artifact `docs/_consolidation/restore/FULL_PRIMARY_HORIZON_AUDIT.md`.,yes
docs/_consolidation/restore/FULL_PRIMARY_HORIZON_RESTORE_MANIFEST.md,Policy Specification,Technical documentation `docs/_consolidation/restore/FULL_PRIMARY_HORIZON_RESTORE_MANIFEST.md`.,yes
docs/_consolidation/restore/POST_RESTORE_SIGNAL_TEST.md,Policy Specification,Technical documentation `docs/_consolidation/restore/POST_RESTORE_SIGNAL_TEST.md`.,yes
docs/_consolidation/restore/POST_RESTORE_VERIFICATION_SUMMARY.md,Policy Specification,Technical documentation `docs/_consolidation/restore/POST_RESTORE_VERIFICATION_SUMMARY.md`.,yes
docs/_consolidation/restore/RESTORE_STEP_A_EXECUTION_LOG.md,Policy Specification,Technical documentation `docs/_consolidation/restore/RESTORE_STEP_A_EXECUTION_LOG.md`.,yes
docs/_consolidation/restore/RESTORE_STEP_A_VERIFICATION.md,Policy Specification,Technical documentation `docs/_consolidation/restore/RESTORE_STEP_A_VERIFICATION.md`.,yes
docs/architecture_parallel_vs_cascade_competition_spec.md,Policy Specification,Technical documentation `docs/architecture_parallel_vs_cascade_competition_spec.md`.,no
docs/calibration_anchor_stability_validation_v2.md,Historical Record,Completed analysis or validation `docs/calibration_anchor_stability_validation_v2.md`.,yes
docs/calibration_anchor_stability_validation_v3.md,Historical Record,Completed analysis or validation `docs/calibration_anchor_stability_validation_v3.md`.,yes
docs/calibration_anchor_stability_validation_v4.md,Historical Record,Completed analysis or validation `docs/calibration_anchor_stability_validation_v4.md`.,yes
docs/calibration_anchor_validation_v1.md,Historical Record,Completed analysis or validation `docs/calibration_anchor_validation_v1.md`.,yes
docs/calibration_bypass_validation_v1.md,Historical Record,Completed analysis or validation `docs/calibration_bypass_validation_v1.md`.,yes
docs/calibration_canonical_enforcement_v1.md,Policy Specification,Technical documentation `docs/calibration_canonical_enforcement_v1.md`.,yes
