source_id,path,topic,proposed_disposition,notes
AGENT_SELF_GOVERNANCE,docs/governance/AGENT_SELF_GOVERNANCE.md,alternation ledger sign-off verification matrix,split: behavior→AGENTS process→keep slim,Phase 1b slim to ~60 lines with stubs
CLAUDE,CLAUDE.md,Schwab full repo directive,keep CLAUDE.md add scope header,Resolve V4 CSV authority contradiction Phase 1b
memory_01,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_audit_for_schwab_replaceable_derivations.md,audit for schwab replaceable derivations,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_02,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_commit_to_specifics.md,commit to specifics,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_03,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_completion_claims_scope_explicit.md,completion claims scope explicit,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_04,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_cursor_drafts_claude_verifies.md,cursor drafts claude verifies,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_05,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_cursor_pushes_not_claude.md,cursor pushes not claude,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_06,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_fiduciary_duty.md,fiduciary duty,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_07,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_fix_as_we_find_scope_policy.md,fix as we find scope policy,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_08,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_full_read_verification_protocol.md,full read verification protocol,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_09,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_gap_closure_self_audit_cycle.md,gap closure self audit cycle,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_10,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_gate_b_file_review_ruleset.md,gate b file review ruleset,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_11,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_infra_cleanup_not_product.md,infra cleanup not product,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_12,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_audit_deferral_across_walks.md,no audit deferral across walks,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_13,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_classifier_only_progress.md,no classifier only progress,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_14,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_grep_tool.md,no grep tool,PROMOTED→AGENTS + .mdc verbatim,archive Phase 1c unless OPERATOR-ONLY
memory_15,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_new_md_deliverables.md,no new md deliverables,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_16,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_patches_solid_fixes.md,no patches solid fixes,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_17,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_permission_asks.md,no permission asks,PROMOTED→AGENTS + .mdc verbatim,archive Phase 1c unless OPERATOR-ONLY
memory_18,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_no_spot_check_demand_systematic.md,no spot check demand systematic,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_19,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_per_iteration_scoreboard.md,per iteration scoreboard,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_20,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_redesigns_must_be_genuinely_different.md,redesigns must be genuinely different,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_21,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_schwab_consistency_first_principles.md,schwab consistency first principles,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_22,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_schwab_full_repo_directive.md,schwab full repo directive,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_23,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_schwab_line_by_line_directive.md,schwab line by line directive,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_24,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_scope_by_dataflow_relevance.md,scope by dataflow relevance,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_25,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_significant_runs_in_operator_powershell.md,significant runs in operator powershell,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_26,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_strict_gatekeeping_role.md,strict gatekeeping role,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_27,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_verification_self_check_against_read_output.md,verification self check against read output,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_28,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_verify_target_exists_before_trigger.md,verify target exists before trigger,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_29,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\feedback_worktree_staleness_check.md,worktree staleness check,PROMOTED or CONSOLIDATED→AGENTS,archive Phase 1c unless OPERATOR-ONLY
memory_30,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\MEMORY.md,MEMORY,Phase 1c thin pointer,archive Phase 1c unless OPERATOR-ONLY
memory_31,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\project_architecture_pivot_pending.md,architecture pivot pending,STALE or archive memory,archive Phase 1c unless OPERATOR-ONLY
memory_32,C:\Users\evarg\.claude\projects\C--Users-evarg-Documents-Trading-EdWebConsole\memory\project_complete_redesign_committed.md,complete redesign committed,STALE or archive memory,archive Phase 1c unless OPERATOR-ONLY
