register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
c42f06a869caa8b75239,py,liquidity_value_engine.py,2,0,TEXT_LINE_MARKET_TOKEN,liquidity_value_engine.py — Liquidity & Value Playbook Engine,value,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.volatility;chains.putExpDateMap.*.volatility;chains.callExpDateMap.*.volatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
205d3fbb5a8ed7fca968,py,liquidity_value_engine.py,5,0,TEXT_LINE_MARKET_TOKEN,No continuous redraw — levels update only at structural checkpoints:,levels only,,chains.putExpDateMap.*.totalVolume;quotes.quote.askSize;quotes.regular.regularMarketLastSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
b9946826d9ef879f250c,py,liquidity_value_engine.py,8,0,TEXT_LINE_MARKET_TOKEN,Data source agnostic: consumes normalized OHLCV bars (DataFrame or list of dicts).,list,chains.callExpDateMap.*.optionDeliverablesList;chains.callExpDateMap.*.optionDeliverablesList.*;chains.callExpDateMap.*.optionDeliverablesList.*.assetType;chains.callExpDateMap.*.optionDeliverablesList.*.currencyType;chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.callExpDateMap.*.optionDeliverablesList.*.symbol;chains.putExpDateMap.*.optionDeliverablesList;chains.putExpDateMap.*.optionDeliverablesList.*;chains.putExpDateMap.*.optionDeliverablesList.*.assetType;chains.putExpDateMap.*.optionDeliverablesList.*.currencyType;chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains.callExpDateMap.*.askSize;quotes.quote.askSize;chains.putExpDateMap.*.askSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
a5f199a73fb1447ed4f5,py,liquidity_value_engine.py,17,0,TEXT_LINE_MARKET_TOKEN,"from datetime import date, datetime, time, timedelta",datetime date time,pricehistory.candles.*.datetime;chains.callExpDateMap;chains.callExpDateMap.*;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.closePrice;chains.callExpDateMap.*.daysToExpiration;chains.callExpDateMap.*.deliverableNote;chains.callExpDateMap.*.delta;chains.callExpDateMap.*.description;chains.callExpDateMap.*.exchangeName;chains.callExpDateMap.*.exerciseType;chains.callExpDateMap.*.expirationDate;chains.callExpDateMap.*.expirationType;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.gamma;chains.callExpDateMap.*.high52Week;chains.callExpDateMap.*.highPrice;chains.callExpDateMap.*.inTheMoney;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.last;chains.callExpDateMap.*.lastSize,chains.putExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
c542b443db82db63e796,py,liquidity_value_engine.py,34,0,TEXT_LINE_MARKET_TOKEN,"RTH_OPEN = time(9, 30)",time,chains.callExpDateMap.*.quoteTimeInLong;chains.callExpDateMap.*.timeValue;chains.callExpDateMap.*.tradeTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.timeValue;chains.putExpDateMap.*.tradeTimeInLong;chains.underlying.quoteTime;chains.underlying.tradeTime;quotes.extended.quoteTime;quotes.extended.tradeTime;quotes.quote.askTime;quotes.quote.bidTime;quotes.quote.quoteTime;quotes.quote.tradeTime;quotes.regular.regularMarketTradeTime;streaming.content.*.ASK_TIME_MILLIS;streaming.content.*.BID_TIME_MILLIS;streaming.content.*.BOOK_TIME;streaming.content.*.CHART_TIME_MILLIS;streaming.content.*.QUOTE_TIME_MILLIS;streaming.content.*.TRADE_TIME_MILLIS,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.volatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
2d256c6daecc2f4c9838,py,liquidity_value_engine.py,35,0,TEXT_LINE_MARKET_TOKEN,"RTH_CLOSE = time(16, 0)",time,chains.callExpDateMap.*.quoteTimeInLong;chains.callExpDateMap.*.timeValue;chains.callExpDateMap.*.tradeTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.timeValue;chains.putExpDateMap.*.tradeTimeInLong;chains.underlying.quoteTime;chains.underlying.tradeTime;quotes.extended.quoteTime;quotes.extended.tradeTime;quotes.quote.askTime;quotes.quote.bidTime;quotes.quote.quoteTime;quotes.quote.tradeTime;quotes.regular.regularMarketTradeTime;streaming.content.*.ASK_TIME_MILLIS;streaming.content.*.BID_TIME_MILLIS;streaming.content.*.BOOK_TIME;streaming.content.*.CHART_TIME_MILLIS;streaming.content.*.QUOTE_TIME_MILLIS;streaming.content.*.TRADE_TIME_MILLIS,chains.putExpDateMap.*.theoreticalVolatility;chains.volatility;chains.callExpDateMap.*.theoreticalVolatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
c18b4040afcca2ae2621,py,liquidity_value_engine.py,38,0,TEXT_LINE_MARKET_TOKEN,def _positive_float_or_none(value) -> Optional[float]:,value float,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare;instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
3e3531f7c597534c60a8,py,liquidity_value_engine.py,41,0,TEXT_LINE_MARKET_TOKEN,    return float_positive_or_none(value),return value,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.totalVolume;quotes.quote.totalVolume;streaming.content.*.BIDS.*.TOTAL_VOLUME,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
74a8a4ad6d14d28e3059,py,liquidity_value_engine.py,44,0,TEXT_LINE_MARKET_TOKEN,def _cluster_reference_price(*candidates) -> Optional[float]:,float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.bidSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
7fa6412896c9a4e84078,py,liquidity_value_engine.py,45,0,TEXT_LINE_MARKET_TOKEN,"    """"""First positive price among candidates; None when no valid reference (no 500.0 fabrication).""""""",price reference,chains.callExpDateMap.*.closePrice;chains.callExpDateMap.*.highPrice;chains.callExpDateMap.*.lowPrice;chains.callExpDateMap.*.openPrice;chains.callExpDateMap.*.strikePrice;chains.putExpDateMap.*.closePrice;chains.putExpDateMap.*.highPrice;chains.putExpDateMap.*.lowPrice;chains.putExpDateMap.*.openPrice;chains.putExpDateMap.*.strikePrice;chains.underlying.highPrice;chains.underlying.lowPrice;chains.underlying.openPrice;chains.underlyingPrice;movers.screeners.*.lastPrice;quotes.extended.askPrice;quotes.extended.bidPrice;quotes.extended.lastPrice;quotes.quote.askPrice;quotes.quote.bidPrice;quotes.quote.closePrice;quotes.quote.highPrice;quotes.quote.lastPrice;quotes.quote.lowPrice;quotes.quote.openPrice,chains.putExpDateMap.*.bidSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.askSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
1c7144684c636f4b4bc3,py,liquidity_value_engine.py,46,0,TEXT_LINE_MARKET_TOKEN,    for value in candidates:,value,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.askSize,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
f4ba230d08f45a67b26d,py,liquidity_value_engine.py,47,0,TEXT_LINE_MARKET_TOKEN,        p = _positive_float_or_none(value),value,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.totalVolume;chains.callExpDateMap.*.totalVolume;chains.callExpDateMap.*.openInterest,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
842bb8457a4a847c23bb,py,liquidity_value_engine.py,49,0,TEXT_LINE_MARKET_TOKEN,            return p,return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,market_hours.future.XRP.isOpen;market_hours.future.RTY.isOpen;market_hours.future.RME.isOpen,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
6c6f8825346eb47613d6,py,liquidity_value_engine.py,50,0,TEXT_LINE_MARKET_TOKEN,    return None,return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,quotes.reference.htbRate;quotes.reference.isHardToBorrow;market_hours.future.RME.category,V3-B universal catch-all (CSV-derived vocabulary),NOT_MARKET_DATA,,,NOT_MARKET_DATA: scoped mechanical classifier tail; production wire reads tracked in governance/SCHWAB_V4_REVIEW_MEMOS cone walk
